question,A,B,C,D,E,answer
"What happens when variance is very high?","Overfitting","Underfitting","Optimization becomes convex","Training error increases","Bias becomes zero",0
"What does PCA maximize?","Entropy","Likelihood","Variance","Classification accuracy","Cross entropy",2
"Which loss is commonly used for binary classification?","MSE","Hinge only","L1 loss","KL only","Cross entropy",4
"In gradient descent, a very large learning rate may cause what?","Faster convergence","Divergence","Lower variance","Convexification","Regularization",1
"What is the bias-variance tradeoff?","Bias and variance always decrease together","Variance only appears in linear models","Bias is unrelated to generalization","Reducing bias may increase variance","Bias equals variance",3
"What is true of convolutional neural networks (CNNs)?","They have more parameters than fully connected layers for the same input size","Weight sharing allows them to detect features regardless of their position","They are primarily used for sequence modeling only","Max-pooling increases the resolution of the feature maps","They require a separate feature engineering step",1
"Fitting a kernel ridge regression model requires which of the following?","Access only to the kernel matrix K and labels y","Direct access to the lifted feature vectors Phi(x_i)","Solving a D x D linear system where D is the lifted dimension","The data must be linearly separable in the original space","The labels must be binary",0
"Regarding the bias-variance tradeoff, adding L2 regularization to a linear regression model usually does what?","Increases variance and decreases bias","Decreases both bias and variance","Decreases variance and increases bias","Increases both bias and variance","Has no effect on the expected test error",2
"Which of the following functions is guaranteed to be convex?","f(x) = sin(x)","f(x) = -x^2","f(x) = log(x) for x > 0","f(x) = |x|","f(x) = max(f1(x), f2(x)) where f1, f2 are concave",3
"In Support Vector Machines, which of the following causes the margin 1/||w|| to shrink?","Decreasing the regularization parameter C in soft-margin SVM","Removing a support vector","Adding a feature that is identical to an existing feature","Changing the kernel to a linear kernel","Increasing the regularization parameter C in soft-margin SVM",4
"Which property is true for the Principal Component Analysis (PCA)?","It maximizes the reconstruction error","The principal components are always orthogonal to each other","It requires labels to find the directions of maximum variance","It is sensitive to the mean but not the scale of features","The first principal component has the smallest eigenvalue",1
"What is a characteristic of a 1-Nearest Neighbor classifier?","Its decision boundary is very smooth","It is a parametric method","It has zero training error (assuming no identical points with different labels)","It is less likely to overfit than a 10-NN classifier","It is faster at inference time than a linear SVM",2
"Which of the following statements about Lasso (L1) and Ridge (L2) regression is true?","Ridge regression can be used for feature selection","Lasso has a closed-form solution (X^TX + lambda I)^{-1}X^Ty","Lasso tends to set some coefficients exactly to zero","Ridge regression is more likely to produce sparse weights","Both methods are non-convex",2
"In the context of the Perceptron algorithm, which of the following is true?","It is guaranteed to converge even if the data is not linearly separable","It will converge in a finite number of steps if the data is linearly separable","It minimizes the cross-entropy loss","The learning rate epsilon determines the final orientation of the boundary","It uses a sigmoid activation function",1
"Which of these is true about K-means clustering?","It is sensitive to the initial placement of centroids","It is guaranteed to find the global minimum of the objective function","It is an example of supervised learning","The number of clusters k is determined automatically by the algorithm","It works best when clusters have very different variances",0
"Which of the following correctly describes the bias-variance tradeoff?","Increasing model complexity always reduces total error","Bias and variance both decrease with more data","Reducing bias typically increases variance","High bias implies low training error","Variance is only relevant for linear models","2"
"A model with high bias and low variance is most likely doing what?","Memorizing the training set","Underfitting the data","Perfectly fitting the data","Overfitting on test data","Exhibiting high test accuracy","1"
"Adding more training data primarily helps reduce which source of error?","Bias","Irreducible noise","Variance","L2 penalty","Label noise","2"
"In ridge regression, what does the regularization term λ||w||² accomplish?","Encourages sparsity in weights","Shrinks weights toward zero","Maximizes the margin","Increases model complexity","Minimizes training loss exactly","1"
"Lasso regression differs from ridge regression primarily because it:","Uses an L2 penalty","Produces dense solutions","Can zero out coefficients","Is non-convex","Has no regularization parameter","2"
"The normal equation for linear regression gives the closed-form solution as:","w = (XᵀX)⁻¹Xᵀy","w = Xᵀ(XXᵀ)⁻¹y","w = X⁻¹y","w = XᵀX · y","w = (Xᵀy)⁻¹","0"
"If the design matrix X is rank-deficient, what problem arises with the normal equation?","Gradient descent diverges","XᵀX is not invertible","The loss becomes non-convex","Ridge term vanishes","Labels become noisy","1"
"Principal Component Analysis (PCA) finds directions that maximize:","Classification accuracy","Reconstruction loss","Variance of projected data","Sparsity of features","Cross-entropy","2"
"The principal components of a dataset correspond to:","The rows of the covariance matrix","The eigenvectors of the covariance matrix","The singular values of X","The inverse of the feature matrix","The means of each feature","1"
"When reducing from d dimensions to k < d using PCA, total variance explained is:","Sum of all eigenvalues","Ratio of top-k eigenvalue sum to all eigenvalues","Product of top-k eigenvalues","k/d","Frobenius norm of X","1"
"Zero-centering data before PCA is necessary because:","It speeds up matrix multiplication","PCA is not invariant to translation","It removes all noise","It makes covariance diagonal","It ensures positive eigenvalues","1"
"In gradient descent with a very large learning rate, what typically happens?","Faster convergence to global minimum","Loss decreases monotonically","The algorithm diverges","Variance of model increases","Regularization becomes stronger","2"
"Stochastic gradient descent (SGD) differs from batch gradient descent in that SGD:","Uses the full dataset per update","Is always slower","Uses one (or few) samples per update","Requires convexity","Cannot escape local minima","2"
"Which of the following is a sufficient condition for gradient descent to converge to a global minimum?","The loss is differentiable","The loss is convex and Lipschitz smooth","The learning rate is 1.0","The model is linear","The dataset is large","1"
"Momentum in gradient descent helps primarily by:","Reducing the learning rate automatically","Accumulating gradient history to dampen oscillations","Increasing sparsity","Normalizing the gradient","Eliminating the need for a learning rate","1"
